,u,w,lap,m,k,fsq,t,vol
193,-11697.203,1241.3473,1845025.5,2048.0,2156.425,1312617.8,970.0,2161.2979
194,-11627.581,1314.2849,1845225.8,2048.0,2102.844,1308033.8,975.0,2167.0544
195,-11666.892,1356.2235,1853796.0,2048.0,2105.9744,1291339.1,980.0,2161.5403
196,-11700.1,1198.2089,1840514.2,2048.0,2115.3796,1225034.0,985.0,2160.494
197,-11743.384,1218.4258,1847282.6,2048.0,2138.2722,1280510.0,990.0,2156.0073
198,-11752.935,935.6029,1819686.1,2048.0,2135.0664,1257456.4,995.0,2161.0945
199,-11740.465,1268.6436,1851554.2,2048.0,2156.3652,1274763.1,1000.0,2155.3948
200,-11693.251,1258.1912,1846913.8,2048.0,2070.2563,1288027.9,1005.0,2160.289
201,-11740.836,1570.7667,1881659.4,2048.0,2121.8555,1284778.9,1010.0,2150.4656
202,-11793.562,928.395,1822264.0,2048.0,2168.8887,1198472.9,1015.0,2155.7388
203,-11695.349,480.48532,1766362.6,2048.0,2140.22,1195045.5,1020.0,2177.2239
204,-11663.42,671.7436,1783942.9,2048.0,2123.098,1254574.0,1025.0,2176.5771
205,-11675.895,1196.54,1838567.2,2048.0,2198.6416,1299838.6,1030.0,2164.1938
206,-11692.484,1173.4913,1837308.5,2048.0,2174.3289,1284216.4,1035.0,2163.8528
207,-11712.588,1073.9441,1830628.5,2048.0,2134.3809,1290500.1,1040.0,2161.7295
208,-11704.626,1142.5485,1834536.8,2048.0,2168.5513,1226709.1,1045.0,2163.058
209,-11743.576,1600.5023,1885734.2,2048.0,2133.3604,1288733.2,1050.0,2149.0205
210,-11683.141,884.96545,1807329.9,2048.0,2132.7737,1254497.6,1055.0,2169.375
211,-11629.468,1625.7035,1879038.2,2048.0,2140.8665,1385365.2,1060.0,2160.313
212,-11605.111,947.9934,1806961.4,2048.0,2116.4878,1364612.5,1065.0,2177.73
213,-11643.7,1263.046,1842492.2,2048.0,2204.0642,1309179.0,1070.0,2166.6304
214,-11659.782,965.4771,1813306.1,2048.0,2199.153,1292548.6,1075.0,2171.3552
215,-11657.025,1056.2394,1822104.0,2048.0,2130.794,1289928.9,1080.0,2170.206
216,-11669.131,1236.5173,1841812.8,2048.0,2164.2227,1256855.6,1085.0,2164.1245
217,-11683.495,1089.7661,1828956.9,2048.0,2153.6157,1299293.9,1090.0,2164.652
218,-11663.723,1038.5626,1820486.9,2048.0,2091.9907,1288324.4,1095.0,2168.877
219,-11710.171,819.6722,1802912.4,2048.0,2162.9988,1198891.2,1100.0,2168.689
220,-11674.393,1033.4092,1820819.9,2048.0,2237.0466,1257180.9,1105.0,2168.031
221,-11665.35,916.6485,1807480.4,2048.0,2194.4663,1228242.5,1110.0,2171.8508
222,-11605.801,1225.1759,1834172.0,2048.0,2155.4285,1335473.6,1115.0,2172.5212
223,-11651.96,1596.9716,1876637.4,2048.0,2151.3442,1325132.2,1120.0,2158.935
